class10_percentage,class12_percentage,mathematics,physics,chemistry,entrance_score,academic_consistency,achievements_count,certifications_count,extracurricular_score,suitability_score,recommendation_label,category_code
82.97,92.27,82.45,70.51,81.11,79.8,90.7,1,0,62.88,82.08,Recommended,2
76.62,84.03,81.58,75.22,83.83,75.8,92.59,1,1,49.9,77.33,Recommended,2
84.48,82.61,74.03,78.69,83.36,56.11,98.13,2,2,90.71,74.24,Recommended,2
93.23,83.09,79.23,100.0,88.22,75.97,89.86,1,1,70.53,79.69,Recommended,2
75.66,81.55,62.22,87.65,68.78,81.3,94.11,3,0,99.12,76.75,Recommended,2
75.66,79.11,81.46,67.02,86.72,63.94,96.55,1,1,71.39,72.63,Recommended,2
93.79,95.82,91.87,96.93,65.11,100.0,97.98,2,0,72.43,87.73,Highly Recommended,3
85.67,88.05,77.87,71.16,80.58,87.22,97.62,3,2,55.53,83.48,Recommended,2
73.31,82.71,88.63,93.72,78.36,74.72,90.6,1,2,63.65,81.3,Recommended,2
83.43,77.12,87.21,74.27,85.77,79.03,93.69,2,0,46.62,74.73,Recommended,2
73.37,84.9,67.6,83.49,84.96,95.18,88.47,0,1,49.85,79.87,Recommended,2
73.34,75.92,69.31,91.4,64.57,81.9,97.42,1,0,81.12,74.77,Recommended,2
80.42,95.9,84.23,79.26,82.36,87.16,84.52,0,2,65.76,85.58,Highly Recommended,3
58.87,58.69,54.62,52.11,68.9,57.47,99.83,0,0,63.66,58.03,Review Required,1
60.75,79.41,87.85,74.75,80.21,82.83,81.34,1,0,58.89,82.16,Recommended,2
72.38,75.25,74.5,88.06,72.38,68.76,97.13,1,1,64.22,76.07,Recommended,2
67.87,65.3,66.33,55.52,66.59,42.39,97.43,0,2,87.0,60.08,Review Required,1
81.14,75.93,56.91,49.83,85.59,92.64,94.79,2,3,72.16,76.25,Recommended,2
68.92,68.68,77.86,68.57,68.53,75.48,99.76,1,3,52.3,68.31,Review Required,1
63.88,71.11,60.94,80.29,74.47,72.6,92.77,0,1,85.46,74.68,Recommended,2
92.66,92.04,89.63,100.0,100.0,86.97,99.39,0,0,95.88,88.26,Highly Recommended,3
75.74,71.43,76.35,70.37,61.34,65.29,95.69,0,1,77.42,69.27,Review Required,1
78.68,77.88,92.01,75.4,61.44,80.73,99.2,4,1,83.37,80.25,Recommended,2
63.75,84.76,70.49,95.87,92.48,57.91,78.99,2,2,88.31,74.45,Recommended,2
72.56,87.61,55.51,67.63,79.79,99.57,84.95,2,0,45.15,84.13,Recommended,2
79.11,81.87,83.24,78.42,79.49,66.23,97.24,1,1,97.96,77.03,Recommended,2
66.49,69.85,90.39,75.8,66.68,66.71,96.64,3,3,86.48,74.43,Recommended,2
